,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,537656304,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,62,28851800000.0,480963000.0,0.0,0.0,0.589179
1,3,537657655,False,0.527108,8030,3960,8450,0.672865,0.00161859,0.699116,431.929,0.000895304,308120903,1014,90084900000.0,451541000.0,315679000.0,730860.0,0.553137
2,2,537656467,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,326,14575100000.0,204137000.0,0.0,0.0,0.250068
3,3,537657740,False,0.00567695,7060,740,3150,0.000104675,5.26544e-07,0.000182921,347.4,1.39278e-07,308120903,312782550,718034000.0,215930000.0,39498.2,113.697,0.264514
4,2,537656409,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,235,32455800000.0,221376000.0,0.0,0.0,0.271185
5,1,537656249,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,312782586,6519140000.0,25824600.0,0.0,0.0,0.0316351
6,3,537657097,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,153,60763700000.0,749471000.0,0.0,0.0,0.918102
7,1,537656248,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,312782582,11508500000.0,52746300.0,0.0,0.0,0.0646142
8,2,537656824,False,0.0260583,10530,3600,7230,0.000917596,5.66117e-07,0.000536274,947.286,1.22094e-06,308120903,920,525618000000.0,1760560000.0,944145.0,996.685,2.15669
9,3,537657105,False,0.379404,4700,4980,1650,0.214444,0.000300311,0.124873,415.812,0.000285336,308120903,163,206974000000.0,775620000.0,96854000.0,232927.0,0.950134
10,3,537657542,False,0.527108,8030,3960,8450,1.24872,0.000138468,0.058122,419.75,0.00166152,308120903,856,2496800000000.0,9795360000.0,569326000.0,1356350.0,11.9993
11,3,537657139,False,0.0162896,7330,7190,5870,0.000112047,5.51134e-07,0.000213167,386.779,1.49088e-07,308120903,223,23642100000.0,220826000.0,47072.8,121.705,0.270512
12,1,537655990,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,773,41453600000.0,158576000.0,0.0,0.0,0.194256
13,1,537656176,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,1044,3624690000.0,19390500.0,0.0,0.0,0.0237534
14,3,537657033,False,0.200416,3490,1890,5680,0.0741889,2.8446e-05,0.0113237,398.077,9.87146e-05,308120903,39,837524000000.0,2832860000.0,32078400.0,80583.4,3.47025
15,2,537656308,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,67,6448560000.0,24652800.0,0.0,0.0,0.0301997
16,1,537656233,False,0.188773,5680,1350,2440,0.0143855,0.000208305,0.0841537,403.993,1.91411e-05,308120903,182305693,11114800000.0,75012300.0,6312560.0,15625.4,0.0918901
17,2,537656384,False,0.332562,6480,6270,7470,0.0360597,2.55405e-05,0.00532868,208.636,4.79804e-05,308120903,194,389554000000.0,1533550000.0,8171800.0,39167.7,1.8786
18,2,537656793,False,0.369082,4370,2860,9650,0.212298,0.000657116,0.304707,463.703,0.000282481,308120903,878,82753200000.0,350922000.0,106928000.0,230596.0,0.429879
19,2,537656638,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,622,5307940000.0,23073300.0,0.0,0.0,0.0282648
20,1,537655938,False,0.0249234,8160,5460,5560,0.000553932,1.58498e-05,0.00621402,392.056,7.37053e-07,308120903,681,5074670000.0,37961100.0,235891.0,601.676,0.0465023
21,3,537657544,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,859,894003000.0,11979000.0,0.0,0.0,0.0146743
22,1,537656208,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,1098,34695700000.0,158028000.0,0.0,0.0,0.193585
23,1,537655887,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,608,28229600000.0,115457000.0,0.0,0.0,0.141435
24,1,537655752,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,358,6259310000.0,34756200.0,0.0,0.0,0.0425763
25,1,537655977,False,0.0100036,10010,1810,2070,2.57759e-05,3.90573e-07,0.000144597,370.216,3.4297e-08,308120903,750,9502200000.0,71683200.0,10365.1,27.9975,0.0878119
26,3,537657126,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,202,327914000000.0,1221830000.0,0.0,0.0,1.49674
27,3,537657552,False,0.388582,9270,3790,3460,0.0208016,0.000296673,0.114109,384.629,2.76783e-05,308120903,874,5191360000.0,76159800.0,8690510.0,22594.5,0.0932958
28,3,537657039,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,50,14529100000.0,74010600.0,0.0,0.0,0.090663
29,2,537656492,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,361,179446000000.0,632212000.0,0.0,0.0,0.77446
30,1,537655798,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,437,99317100000.0,529204000.0,0.0,0.0,0.648276
31,3,537657048,False,0.0403217,2030,2620,6130,0.000576209,2.71077e-06,0.00099356,366.524,7.66695e-07,308120903,68,15954800000.0,230884000.0,229397.0,625.873,0.282833
32,2,537656515,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,395,104239000000.0,496350000.0,0.0,0.0,0.608029
33,2,537656782,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,308120903,857,61437700000.0,210700000.0,0.0,0.0,0.258107
34,3,537657531,False,0.0699209,9510,6810,7280,0.000923437,3.90529e-06,0.0012287,314.623,1.22871e-06,308120903,841,13011900000.0,256838000.0,315576.0,1003.03,0.314627
