,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,628427389,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,1085,6128645120.0,33113700.0,0.0,0.0,0.0405642825
1,1,628428296,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,1004,25413386240.0,87759904.0,0.0,0.0,0.1075058824
2,2,628427273,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,1046,17822277632.0,62379000.0,0.0,0.0,0.076414275
3,2,628427293,False,0.962516605854034,10030,4850,8360,0.562603834530251,0.0230183359235525,38.2917137145996,1663.53100585938,0.0169031821,156313344,1049,295588482048.0,599457600.0,22954258432.0,13798516.0,0.73433556
4,3,628437895,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,1081,2416657536.0,9745200.0,0.0,0.0,0.01193787
5,3,628437182,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,862,641065123840.0,1865833216.0,0.0,0.0,2.2856456896
6,2,628425217,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,763,631661568.0,3898800.0,0.0,0.0,0.00477603
7,1,628432962,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,177,9449801728.0,13496400.0,0.0,0.0,0.01653309
8,1,628433257,False,0.0317073091864586,6110,2340,3760,3.99125359438966e-05,1.59384017024422e-05,0.00653177499771118,409.813690185547,1.19915439910889e-06,156313344,98,7599988224.0,61417800.0,401167.25,978.901550292969,0.075236805
9,2,628424328,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,531,7737238528.0,19704600.0,0.0,0.0,0.024138135
10,2,628424371,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,545,297234.09375,900.0,0.0,0.0,1.1025e-06
11,2,628425155,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,744,3848799232.0,30121200.0,0.0,0.0,0.03689847
12,2,628424296,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,515,61987221504.0,182888992.0,0.0,0.0,0.2240390152
13,2,628423700,False,0.883915185928345,9460,4650,7720,9.66760015127253,0.00439978973424805,5.35200361645141,1216.42258828673,0.290458748763043,156313344,343,22642192447404.5,53891025932.0,288424965682.341,237109182.663709,66.0165067667
14,2,628424902,False,0.352316528558731,9760,5070,6050,0.0157200823038564,0.00142405461519957,1.33607649803162,938.220031738281,0.000472302884375,156313344,679,122484047872.0,270743392.0,361733888.0,385553.375,0.3316606552
15,1,628430361,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,746,327033990400.0,799553676.0,0.0,0.0,0.9794532531
16,1,628430401,False,0.0468922331929207,7340,2850,730,5.81667581695483e-05,8.45424165163422e-06,0.00368189206346869,435.508270263672,1.74759439086914e-06,156313344,735,40086732800.0,168744608.0,621299.4375,1426.60766601562,0.2067121448
17,1,628428085,False,0.694698870182037,9060,5830,5310,0.212402470380223,0.000242824237152222,0.243339406883252,1002.12157458857,0.00638153779795064,156313344,1065,9890943448704.0,21453454036.0,5220470780.71735,5209418.61057195,26.2804811941
18,2,628425458,False,0.218375265598297,6970,6240,5970,0.000178612481953587,2.58862728514941e-05,0.0164862666279078,636.872924804688,5.3663326171875e-06,156313344,830,57058598912.0,169227904.0,2789936.25,4380.6796875,0.2073041824
19,2,628424489,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,583,71369367552.0,247832096.0,0.0,0.0,0.3035943176
20,1,628429427,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,970,54143066112.0,107688600.0,0.0,0.0,0.131918535
21,1,628433108,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,135,10722669568.0,19389600.0,0.0,0.0,0.02375226
22,1,628422705,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,312782566,32563965952.0,100518304.0,0.0,0.0,0.1231349224
23,1,628429440,False,0.645206987857819,9050,5830,5310,0.0178876322507617,8.16644578305216e-05,0.050808020630228,622.155855557995,0.000537425958934164,156313344,967,754618002272.0,5372166548.0,272949148.799805,438715.068517685,6.5809040213
24,3,628437360,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,182305697,125072261120.0,298328384.0,0.0,0.0,0.3654522704
25,2,628427044,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,990,37599522816.0,96127200.0,0.0,0.0,0.11775582
26,3,628437694,False,0.128283709287643,450,5850,6770,0.000943670247211928,6.93391471548274e-06,0.0029895842484835,431.153882208568,2.83521530639648e-05,156313344,1016,519810416640.0,3337885696.0,9978890.5,23144.6147460938,4.0889099776
27,2,628422107,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,156313344,19,14085618688.0,56560500.0,0.0,0.0,0.0692866125
