,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,1,631447174,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,1062,19610621952.0,65949300.0,0.0,0.0,0.0807878925
1,1,631447175,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,1061,27922432000.0,65173500.0,0.0,0.0,0.0798375375
2,2,631445839,False,0.026804905384779,4700,3630,6380,1.0429785751364e-05,2.34991435856464e-07,2.48299573112029e-05,105.66324351654,3.88112172698975e-07,267813224,242,466806472704.0,1348246000.0,33476.890625,316.826263427734,1.65160135
3,1,631447636,False,0.23247142136097,8440,6110,5340,0.00257228384672615,0.000321476364314225,0.0415303351110116,129.186278436377,9.57195762550354e-05,267813224,491,63887915264.0,243061196.0,10094412.9223633,78138.4295959473,0.2977499651
4,3,631448219,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,147,3610072064.0,13037400.0,0.0,0.0,0.015970815
5,2,631446549,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,839,22296363008.0,78387296.0,0.0,0.0,0.0960244376
6,1,631447255,False,0.497014105319977,4490,950,4930,0.0396220663607472,0.000204188521851351,0.13765822167206,674.172183744369,0.00147441247871094,267813224,993,2438116159488.0,5894562596.0,811435004.5,1203602.0234375,7.2208391801
7,1,631447512,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,680,1084370432.0,4333500.0,0.0,0.0,0.0053085375
8,1,631448070,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,50,21039292416.0,76817696.0,0.0,0.0,0.0941016776
9,3,631448680,False,0.206955671310425,9160,1980,7350,0.00721773062019136,0.000674381612857103,0.119919724356396,177.821758586123,0.000268585489648437,267813224,834,89820803072.0,325117792.0,38988036.0,219253.4609375,0.3982692952
10,2,631446007,False,0.167822197079659,7890,230,7150,0.000951207373170419,8.10172370665617e-05,0.0213791125276215,263.883505556441,3.53962362304687e-05,267813224,394,133477328384.0,356651100.0,7624884.0,28894.88671875,0.4368975975
11,1,631447089,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,599626927,8764112896.0,21612600.0,0.0,0.0,0.026475435
12,2,631446123,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,530,2964697088.0,16888500.0,0.0,0.0,0.0206884125
13,1,631447499,False,0.637164115905762,3110,5410,4240,0.102841301834197,0.000165771518368274,0.0470960885286331,284.102416992188,0.00382692051875,267813224,698,5970512404480.0,18845317120.0,887540736.0,3124016.75,23.085513472
14,3,631448489,False,0.206485331058502,7440,6510,7020,0.00156756291150153,0.000368682179606034,0.0643633436618322,174.576768886984,5.83319985595703e-05,267813224,557,26909291264.0,129157200.0,8312989.25,47617.9580078125,0.15821757
15,2,631446859,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,1088,40656760832.0,112639504.0,0.0,0.0,0.1379833924
16,1,631447671,False,0.0456389114260674,13010,6750,3740,3.84801012092817e-05,1.54535086949181e-06,0.000145636338857003,94.2416076660156,1.43191778259277e-06,267813224,429,203774017536.0,756405888.0,110160.1875,1168.91247558594,0.9265972128
17,1,631447358,False,0.00418948428705335,11130,4230,5520,1.16557764347467e-06,6.46905618850724e-07,0.000117243624117691,181.237609863281,4.33733618736267e-08,267813224,912,20186329088.0,54732600.0,6417.04833984375,35.4068260192871,0.067047435
18,2,631446437,False,0.224561214447021,11170,3540,8240,0.0031241337070669,3.04743407468777e-05,0.00927944853901863,304.500396728516,0.000116254959570312,267813224,728,621408681984.0,3114161152.0,28897698.0,94902.0078125,3.8148474112
19,3,631448284,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,234,109469753344.0,281536192.0,0.0,0.0,0.3448818352
20,2,631445751,False,0.137140050530434,8590,4360,5780,0.000791370110842109,7.28304175143078e-05,0.0225454914602742,309.56147485829,2.94483875747681e-05,267813224,165,112632042240.0,330075000.0,7441703.09375,24039.5000610352,0.404341875
21,2,631446508,False,0.609267115592957,5140,7010,6600,0.0180675689273349,0.000130236890981905,0.0532257296144962,408.683990478516,0.0006723286171875,267813224,803,1374392076160.0,4214164736.0,224302000.0,548839.6875,5.1623518016
22,3,631449280,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,151,129851037696.0,586828800.0,0.0,0.0,0.71886528
23,1,631447608,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,267813224,544,56347242496.0,139194000.0,0.0,0.0,0.17051265
