,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,1,629895189,False,0.120838083326817,12030,4800,4250,2.44250220297982e-05,1.35523077915423e-05,0.0123521331697702,911.441284179688,1.52943358459473e-06,168664192,903,32721209344.0,92125800.0,1137950.125,1248.51721191406,0.112854105
1,2,629894707,True,0.988930523395538,10910,3300,7410,0.010567073956578,0.650901318896426,6627.51957197512,10182.0650528283,0.00066168365295105,168664192,920,5831834040.5,829849.172363281,5499841631.625,540149.920776367,0.00101656523614502
2,3,629896421,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168664192,917,2280032128.0,8380800.0,0.0,0.0,0.01026648
3,1,629895354,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168664192,654,194931474432.0,246657600.0,0.0,0.0,0.30215556
4,3,629896384,False,0.886149108409882,10680,3860,7180,0.0195201037136461,0.00391432396428785,3.31501229600277,846.892675784409,0.00122229990859375,168664192,866,21243876720.0,254908856.0,845025992.0,997795.84375,0.3122633486
5,2,629894807,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168664192,1026,11728572416.0,32959800.0,0.0,0.0,0.040375755
6,3,629896561,False,0.24903079867363,6060,5090,6280,0.000321096675697585,0.000120516096655718,0.121028740025082,1004.25373359734,2.01062680358887e-05,168664192,1077,67398946816.0,136191600.0,16483097.75,16413.2800292969,0.16683471
7,1,629894085,False,0.219737559556961,6650,6070,4600,0.000342405482934145,0.000181534342118539,0.155063137412071,854.1806640625,2.14405720703125e-05,168664192,576073704,42411081728.0,96414304.0,14950304.0,17502.5078125,0.1181075224
8,1,629895134,False,0.00155708321835846,2510,3290,3090,6.96246287237507e-08,2.07894479409276e-09,3.08672724713688e-07,148.475677490234,4.35971952676773e-09,168664192,962,931525492736.0,1711904384.0,528.418212890625,3.55895471572876,2.0970828704
9,3,629896016,True,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168664192,323,4747.3564453125,9.44445514678955,0.0,0.0,1.15694575548172e-08
10,2,629894103,False,0.519782185554504,6530,4760,5880,0.0173005517787613,0.0012275218940857,1.41462523198657,1152.42362584516,0.00108331713642578,168664192,51,325794068480.0,720427492.0,1019134908.0,884340.51953125,0.8825236777
11,3,629896374,False,0.246869266033173,8620,2220,4160,0.000261589116339896,2.31280662955152e-05,0.0246794303181097,1067.07711759264,1.63800540039062e-05,168664192,851,263046479872.0,578149184.0,14268392.5,13371.47265625,0.7082327504
12,2,629894881,False,0.510872185230255,11930,6980,7650,0.0499878475551769,0.00653646094724536,1.34655940532684,206.007415771484,0.00313011356875,168664192,1123,22347509965.4662,390914112.0,526389056.0,2555194.75,0.4788697872
13,1,629895172,False,0.353592067956924,5690,1320,2510,0.00246658631815753,0.000221957483210949,0.0833595194367149,375.565257952982,0.0001544514453125,168664192,182305689,338398741504.0,568049388.0,47352324.0,126082.8125,0.6958605003
14,3,629895855,False,0.252307862043381,10460,6910,4630,0.00110063780201979,0.000320221512863569,0.366224239557888,1143.65907612809,6.89191770975649e-05,168664192,105,64868380672.0,175692608.0,64342891.7607422,56260.5527327061,0.2152234448
15,1,629894249,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168664192,312782594,17303150592.0,35704800.0,0.0,0.0,0.04373838
16,3,629896270,True,0.980101346969604,11190,4150,7190,0.164329321734351,0.154633601807392,428.290819689262,2769.71379236663,0.0102898897404297,168664192,701,56543453760.0,54321375.78125,23265346560.0,8399909.9921875,0.0665436853320312
17,3,629896641,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168664192,312782574,218072662784.0,442877400.0,0.0,0.0,0.542524815
18,2,629894786,False,0.69368177652359,9470,4570,6250,0.0609483608634177,0.00568311233731538,5.07198476152948,892.466039818847,0.00381643340656099,168664192,1000,106437678474.602,548195365.0,2780438537.62109,3115455.84209061,0.671539322125
19,3,629895814,False,0.387988954782486,4570,4420,1450,0.00766390634445991,0.00221802489360463,1.26945385918337,572.335262261331,0.000479894582617187,168664192,36,72408924160.0,176621408.0,224212728.0,391750.6796875,0.2163612248
20,2,629894300,False,0.886149108409882,10680,3860,7180,0.271798152443424,0.0419147461652756,41.1997718811035,982.942138671875,0.017019318225,168664192,326,68402228080.0,331466176.0,13656330240.0,13893321.0,0.4060460656
21,2,629894560,False,0.0974032133817673,7390,4830,6350,0.000185338019856734,7.42759085670416e-06,0.0060375215825024,812.850586277639,1.16054016952515e-05,168664192,709,646492016640.0,1275487232.0,7700781.69140625,9473.79730224609,1.5624718592
22,2,629894463,False,0.469918429851532,8410,3840,5950,0.00806144221565545,0.00991332717239857,10.2173624038696,1030.66931152344,0.00050478728125,168664192,587,21066743808.0,41567400.0,424709184.0,412071.25,0.050920065
23,1,629895735,False,0.712358713150024,11860,7330,4690,0.0303605416528284,0.00673894537612796,9.45375823974609,1402.85424804688,0.001901100928125,168664192,83,75882921984.0,230291104.0,2177116416.0,1551919.125,0.2821066024
24,1,629895260,False,0.245979070663452,6160,3320,5160,0.000470257648136265,0.000197330708033405,0.117581069469452,595.857971191406,2.94463538085937e-05,168664192,802,39851458560.0,121815000.0,14323138.0,24037.83984375,0.149223375
25,3,629896250,False,0.168636217713356,8250,5550,5180,0.000115772200321718,0.000207151012530016,0.0333613764748904,161.048580296253,7.24936465229988e-06,168664192,673,5673588224.0,28567800.0,953061.130859375,5917.848695755,0.034995555
26,2,629894761,False,0.164429560303688,8800,3780,5700,0.000683185078538995,0.00304832425899804,2.67569375038147,877.758911132812,4.277933515625e-05,168664192,975,4714416128.0,11456100.0,30653014.0,34921.90625,0.0140337225
27,1,629895019,False,0.0670684278011322,4350,3260,5690,5.43306698329658e-05,7.44125009077834e-06,0.00351778417825699,472.741027832031,3.40205020141602e-06,168664192,1108,88346607616.0,373214688.0,1312888.75,2777.18383789062,0.4571879928
28,3,629896072,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168664192,393,2867065728.0,7921800.0,0.0,0.0,0.009704205
29,3,629896229,False,1.0,10840,3280,7370,0.773774461599824,0.00216862397039633,5.81307260272548,2680.53506835631,0.0484518149882812,168664192,645,10507717133895.5,18238524784.0,106021868736.0,39552502.03125,22.3421928604
30,2,629894359,False,0.513773083686829,6430,6190,7580,0.0046655208309702,0.000261248991591856,0.27248477935791,1043.00793457031,0.00029214320625,168664192,403,351290687488.0,912861888.0,248740976.0,238484.25,1.1182558128
31,2,629894452,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168664192,573,43709976576.0,80587800.0,0.0,0.0,0.098720055
32,1,629895561,False,0.101749889552593,5940,6690,3160,0.000151562850145272,2.24339401029283e-05,0.0191642083227634,854.250671386719,9.49048532714844e-06,168664192,327,148034961408.0,345339904.0,6618166.0,7747.3349609375,0.4230413824
33,2,629894637,False,0.269311457872391,6780,6050,6190,0.000338161944515469,0.000102143872936722,0.120863161981106,1183.26391601562,2.117485234375e-05,168664192,830,67352473600.0,169227904.0,20453420.0,17285.59375,0.2073041824
34,1,629895314,False,0.152887582778931,3770,3880,5680,0.000558254596797924,0.000419254996813834,0.232305556535721,554.09130859375,3.49565019042969e-05,168664192,707,29521672192.0,68063400.0,15811506.0,28535.919921875,0.083377665
35,3,629896553,True,0.980101346969604,11190,4150,7190,0.343042202451492,0.143403219010382,420.934819681707,2935.32336712213,0.0214804418486328,168664192,1065,122199776448.0,122277970.40625,51471055424.0,17535054.5703125,0.149790513747656
36,2,629894706,False,0.363569527864456,12170,4650,6900,0.0133783682789384,0.00329161575064063,0.81279468536377,246.928787231445,0.0008377198484375,168664192,153,37320097792.0,207756000.0,168862976.0,683852.9375,0.2545011
37,2,629894764,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168664192,977,73599410176.0,174786304.0,0.0,0.0,0.2141132224
38,1,629895245,False,0.225259318947792,10080,3190,2790,0.00184820259365053,1.13453283804343e-05,0.00271500617973995,239.306090462939,0.000115729808325891,168664192,822,3272752857088.0,8327067296.0,22608039.1677504,94473.3129190948,10.2006574376
39,3,629896595,False,0.0710973367094994,6370,4640,5580,5.24529394264171e-05,6.86874576499687e-05,0.0708261538422126,1031.13663346142,3.28447143554687e-06,168664192,1120,18481696768.0,39034800.0,2764684.75,2681.201171875,0.04781763
40,2,629894459,False,0.0157269481569529,5530,4240,6380,3.52841505376578e-06,1.12631471438362e-06,0.000196026565390639,174.042434692383,2.20940496063232e-07,168664192,581,55399936000.0,160132496.0,31390.22265625,180.359588623047,0.1961623076
41,1,629895108,False,0.605629801750183,12170,3660,5090,0.0145568043235426,0.00329365604557097,3.84181714057922,1166.42932128906,0.00091151055625,168664192,989,81291198464.0,225916192.0,867928704.0,744090.25,0.2767473352
42,2,629894346,False,0.240260124206543,13140,5070,6620,0.000508248435925246,0.00258752540685236,0.174985453486443,67.6265716552734,3.18252416015625e-05,168664192,380,1018779008.0,10040400.0,1756924.0,25979.7890625,0.01229949
43,1,629895428,False,0.676587998867035,6320,4060,3830,0.31031718213054,0.00173866259865463,2.03212761878967,1168.78771972656,0.0194312832,168664192,549,4139766885120.0,9123260416.0,18539628544.0,15862272.0,11.1759940096
44,1,629895442,False,0.249681577086449,7160,2450,940,0.000609978271194097,0.000351900700479746,0.0835664495825768,237.471664428711,3.819530859375e-05,168664192,527,32065961984.0,88604096.0,7404329.5,31179.84375,0.1085400176
45,1,629895724,False,0.18798141181469,6900,5490,4280,0.000558865909342138,0.000589503906667233,0.64228230714798,1089.53015136719,3.49947807617187e-05,168664192,102,17303224320.0,48459676.0,31124792.0,28567.16796875,0.0593631031
46,3,629896650,False,0.0368745028972626,9140,4880,5630,1.05789576217837e-06,4.03199552683962e-06,0.00438474831773081,1087.48838845258,6.62427778244018e-08,168664192,607344854,6561755136.0,13411656.0,58806.7360839844,54.0757369995117,0.0164292786
47,3,629896592,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168664192,1114,51780304896.0,93736800.0,0.0,0.0,0.11482758
