,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,3,632071016,False,0.0443192273378372,7590,4540,4950,1.13395385931372e-05,1.43029290928365e-06,0.000312139132960928,218.234412640178,3.39439881134033e-07,287601100,741,62035474432.0,193732192.0,60471.3984375,277.093780517578,0.2373219352
1,2,632069341,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,287601100,800,94013202432.0,324194400.0,0.0,0.0,0.39713814
2,3,632070875,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,287601100,544,91668602880.0,278388000.0,0.0,0.0,0.3410253
3,1,632069838,False,0.207479625940323,8340,1680,4380,0.00326731625629402,0.000129943335196003,0.0228813942521811,176.087493896484,9.7804459375e-05,287601100,971,39072886784.0,614424576.0,14058891.0,79840.375,0.7526701056
4,1,632070316,False,0.0875079184770584,7320,280,4250,0.000111226099055509,4.43981989519671e-05,0.0113964583724737,256.687408447266,3.3294629699707e-06,287601100,281,17679687680.0,61217100.0,697658.125,2717.92895507812,0.0749909475
5,2,632069433,False,0.169412523508072,10380,3630,9460,0.001260560555176,1.36390055066128e-05,0.00220936934418254,161.9890352791,3.77338567611694e-05,287601100,926,499582996480.0,2258460000.0,4989772.2890625,30803.1483764648,2.7666135
6,3,632070521,False,0.0549729540944099,8120,5210,5600,3.93506351843788e-05,1.23095144063458e-05,0.00153712980724918,124.873309905446,1.17792931518555e-06,287601100,12,13020616192.0,78116400.0,120075.046875,961.574951171875,0.09569259
7,3,632070705,False,0.0639368072152138,6470,1440,4760,7.4718975429707e-05,5.90393217584003e-05,0.0230032004022531,389.625078966632,2.23665186462402e-06,287601100,279,4881564928.0,30925800.0,711392.375,1825.83825683594,0.037884105
8,1,632069791,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,287601100,1026,4649160192.0,32959800.0,0.0,0.0,0.040375755
9,3,632071340,False,0.112157739698887,5200,3220,5670,0.00064692253575007,9.33343239410419e-06,0.00100445309839588,107.618832599075,1.93651008666992e-05,287601100,258,373964750848.0,1693722624.0,1701264.9375,15808.2456054688,2.0748102144
10,1,632069683,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,287601100,560581559,14550827008.0,39449700.0,0.0,0.0,0.0483258825
11,3,632071078,False,0.262082666158676,7030,4510,660,0.00318349294347491,0.000334347922791273,0.0413449050793405,123.658327930308,9.52952765625e-05,287601100,836,40649895936.0,232668000.0,9619636.375,77792.0625,0.2850183
12,1,632069962,False,0.12251003831625,6160,1860,5120,8.38016873146245e-05,7.33239576220512e-05,0.0279411152005196,381.06396484375,2.50853547058105e-06,287601100,819,6405283840.0,27927900.0,780336.6875,2047.78405761719,0.0342116775
13,3,632070600,False,0.0621738694608212,11810,6690,7020,7.8271073193894e-05,4.93212230588096e-05,0.00659000064789887,133.613893557366,2.34298102722168e-06,287601100,135,4400139840.0,38779200.0,255554.953125,1912.63757324219,0.04750452
14,3,632071124,False,0.0788166895508766,9900,2570,2090,2.82592591213458e-05,3.1599449051847e-06,0.00144897052269062,458.542970262935,8.45917977905273e-07,287601100,902,66877749248.0,218530800.0,316644.6875,690.545288085938,0.26770023
15,1,632070139,False,0.605173528194427,6920,710,5510,0.515580429589228,0.000103458180911637,0.0477907255028179,461.93278367842,0.0154334815563587,287601100,567,35228149825196.4,121776357782.0,5819780487.49251,12598760.4541704,149.17603828295
16,3,632070578,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,287601100,105,9104910336.0,175692608.0,0.0,0.0,0.2152234448
17,1,632069955,False,0.0565809160470963,10940,1180,4670,0.000100542860054653,2.73643945547519e-06,0.00035402923822403,129.375869750977,3.00966888427734e-06,287601100,828,228535058432.0,897835520.0,317860.03125,2456.87255859375,1.099848512
18,1,632069823,False,0.289132446050644,8990,6710,5540,0.0151840604773912,0.000142288909042769,0.0251052292585021,176.43841271533,0.000454522522344685,287601100,987,274102522368.0,2607643816.0,65465495.8251953,371038.793750763,3.1943636746
19,1,632070002,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,287601100,755,45069242368.0,174364192.0,0.0,0.0,0.2135961352
