,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,537551401,False,0.0379852,8800,6360,7250,0.000392552,4.68496e-06,0.00231878,494.942,2.39964e-06,306928743,78,10350100000.0,418124000.0,969538.0,1958.89,0.512202
1,1,537551228,False,0.271257,7530,4370,2910,0.0201403,3.62277e-05,0.0140308,387.295,0.000123116,306928743,991,619527000000.0,2774200000.0,38924300.0,100503.0,3.3984
2,1,537550738,False,0.0105051,1820,3180,4430,1.94691e-05,7.7839e-07,0.000403578,518.477,1.19013e-07,306928743,204,40795000000.0,124814000.0,50372.1,97.1539,0.152897
3,3,537552531,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,701,732000000000.0,2223820000.0,0.0,0.0,2.72418
4,2,537551471,False,0.484821,7750,6080,6830,0.230474,0.000749959,0.561157,748.25,0.00140887,306928743,194,582205000000.0,1533550000.0,860562000.0,1150100.0,1.8786
5,3,537552421,False,0.160702,5760,7050,6750,0.00176223,1.17444e-05,0.00415022,353.38,1.07724e-05,306928743,523,357739000000.0,748768000.0,3107550.0,8793.8,0.91724
6,2,537552852,True,0.659694,5640,7040,6400,1.0,0.12037,74.955,622.704,0.00611293,306928743,967,14348700000.0,41456700.0,3107390000.0,4990150.0,0.0507845
7,2,537551367,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,14,370897000.0,774000.0,0.0,0.0,0.00094815
8,2,537551850,False,0.285192,4290,6510,5960,0.0158357,9.2835e-05,0.0578303,622.936,9.68023e-05,306928743,826,322419000000.0,851212000.0,49225800.0,79022.3,1.04273
9,3,537552759,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1047,817357000000.0,1151680000.0,0.0,0.0,1.41081
10,2,537552058,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1127,133049000000.0,313010000.0,0.0,0.0,0.383437
11,3,537552464,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,604,42389100000.0,122027000.0,0.0,0.0,0.149484
12,2,537551697,False,0.0399315,2290,2890,5860,0.000168333,6.03054e-06,0.00349337,579.281,1.02901e-06,306928743,582,61698000000.0,139292000.0,486600.0,840.007,0.170633
13,3,537552803,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1125,272924000000.0,580540000.0,0.0,0.0,0.711161
14,2,537551859,False,0.246857,4840,6640,8610,0.00916531,1.67887e-05,0.0101285,603.294,5.6027e-05,306928743,840,779185000000.0,2724230000.0,27592400.0,45736.3,3.33719
15,3,537552260,False,0.251847,7400,3040,790,0.0015723,1.84488e-05,0.013996,758.637,9.61139e-06,306928743,251,214648000000.0,425286000.0,5952290.0,7846.03,0.520975
16,1,537550908,False,0.208831,9170,3500,3520,0.00235641,7.63525e-05,0.045229,592.371,1.44046e-05,306928743,482,35276600000.0,154007000.0,6965580.0,11758.8,0.188659
17,1,537550910,False,0.0149858,1970,3160,5310,3.42932e-05,9.03092e-07,0.00054328,601.578,2.09632e-07,306928743,484,76241000000.0,189491000.0,102947.0,171.128,0.232127
18,1,537551271,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1054,33406600000.0,91854000.0,0.0,0.0,0.112521
19,1,537551036,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,696,13643900000.0,50343300.0,0.0,0.0,0.0616705
20,1,537551168,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,912,13588400000.0,54815400.0,0.0,0.0,0.0671489
21,1,537550771,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,257,36463300000.0,68416200.0,0.0,0.0,0.0838098
22,3,537552732,False,0.845945,8010,4760,8280,10.6183,0.00128174,0.846794,660.659,0.0649087,306928743,1009,10078600000000.0,41339600000.0,35006100000.0,52986700.0,50.641
23,2,537552033,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1085,7383880000.0,31286700.0,0.0,0.0,0.0383262
24,3,537552288,False,0.231897,5110,7150,4650,0.00192264,3.17712e-05,0.0183889,578.791,1.1753e-05,306928743,298,135861000000.0,301981000.0,5553080.0,9594.28,0.369926
25,2,537551756,False,0.0359169,6730,550,7260,0.000336479,8.78051e-06,0.00473264,538.994,2.05688e-06,306928743,670,80736700000.0,191228000.0,905015.0,1679.08,0.234255
26,2,537551371,False,0.246857,4840,6640,8610,0.0068671,6.02226e-05,0.0359488,596.933,4.19781e-05,306928743,21,255524000000.0,569020000.0,20455600.0,34267.8,0.697049
27,2,537551674,False,0.398163,7770,2790,6300,0.0281151,0.00274803,2.50979,913.304,0.000171866,306928743,531,15487000000.0,51054300.0,128135000.0,140299.0,0.0625415
28,2,537552041,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1098,62565300000.0,158028000.0,0.0,0.0,0.193585
29,1,537551241,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1010,39774200000.0,81846000.0,0.0,0.0,0.100261
30,3,537552487,False,0.437941,7640,2810,6250,0.0181826,0.000415252,0.420882,1013.56,0.000111149,306928743,634,83891800000.0,218504000.0,91964400.0,90734.1,0.267667
31,1,537550832,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,350,4463100000.0,13779000.0,0.0,0.0,0.0168793
32,2,537551431,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,131,138527000000.0,288920000.0,0.0,0.0,0.353927
33,2,537551681,False,0.932779,7490,3660,8320,14.5099,0.00766346,8.4464,1102.17,0.0886981,306928743,549,3994700000000.0,9448300000.0,79804100000.0,72406600.0,11.5742
34,3,537552788,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1098,114329000000.0,316057000.0,0.0,0.0,0.387169
35,3,537552506,False,0.0584595,2160,2500,6390,0.000135088,3.22176e-06,0.00169713,526.773,8.25787e-07,306928743,667,48204100000.0,209237000.0,355104.0,674.112,0.256316
36,1,537550755,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,233,58816500000.0,91035000.0,0.0,0.0,0.111518
37,2,537552100,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,312782648,43965000000.0,83869200.0,0.0,0.0,0.10274
38,3,537552553,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,741,52489600000.0,121550000.0,0.0,0.0,0.148899
39,2,537552070,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,182305709,65228500000.0,132688000.0,0.0,0.0,0.162543
40,2,537551622,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,433,45563500000.0,102609000.0,0.0,0.0,0.125696
41,1,537550932,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,530,10276100000.0,33043500.0,0.0,0.0,0.0404783
42,3,537552657,False,0.160055,9400,4380,10490,0.00680071,3.28956e-06,0.00196487,597.306,4.15723e-05,306928743,909,4258410000000.0,10316500000.0,20270500.0,33936.6,12.6377
43,2,537551540,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,305,39606000000.0,74037600.0,0.0,0.0,0.0906961
44,1,537551261,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1038,376275000000.0,582404000.0,0.0,0.0,0.713444
45,2,537551489,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,225,68610200000.0,276808000.0,0.0,0.0,0.339089
46,3,537552359,False,0.0739557,8340,1240,1990,0.000565695,4.1523e-06,0.00255905,616.295,3.45806e-06,306928743,402,378579000000.0,679840000.0,1739740.0,2822.9,0.832804
47,2,537551377,False,0.186274,4310,2900,5700,0.0093628,1.8815e-05,0.0136813,727.148,5.72342e-05,306928743,31,1073150000000.0,2483220000.0,33973700.0,46721.8,3.04194
48,2,537551743,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,648,906791000000.0,1471840000.0,0.0,0.0,1.803
49,2,537552053,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1117,510253000000.0,1646180000.0,0.0,0.0,2.01657
50,3,537552627,False,0.72665,7240,2880,3740,6.84954,0.0069177,7.76417,1122.36,0.0418708,306928743,864,2108090000000.0,4940980000.0,38362600000.0,34180200.0,6.0527
51,1,537550963,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,590,99742700000.0,308060000.0,0.0,0.0,0.377374
52,1,537550811,False,0.307771,6290,1170,2580,0.0308805,1.41051e-05,0.00976046,691.979,0.000188771,306928743,322,5970440000000.0,10925000000.0,106633000.0,154098.0,13.3831
53,3,537552374,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,433,93620200000.0,205218000.0,0.0,0.0,0.251392
54,2,537551482,False,0.0861419,4970,1310,5840,0.000333417,6.10115e-06,0.00377241,618.311,2.03815e-06,306928743,211,133764000000.0,272703000.0,1028750.0,1663.8,0.334061
55,3,537552577,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,786,36952300000.0,75693600.0,0.0,0.0,0.0927247
56,2,537551811,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,763,1299100000.0,5356800.0,0.0,0.0,0.00656208
57,3,537552654,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,906,162017000000.0,365191000.0,0.0,0.0,0.447359
58,2,537551449,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,156,53764400000.0,82761300.0,0.0,0.0,0.101383
59,3,537552605,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,832,144129000000.0,1009190000.0,0.0,0.0,1.23626
60,1,537550863,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,397,3371510000.0,29430900.0,0.0,0.0,0.0360529
61,1,537550637,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,30,1704430000.0,5502600.0,0.0,0.0,0.00674068
62,3,537552669,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,927,5245790000.0,20106000.0,0.0,0.0,0.0246299
63,1,537551100,False,0.00962177,5110,5270,4710,8.87218e-06,6.5639e-08,4.10926e-05,626.039,5.42351e-08,306928743,809,268783000000.0,674500000.0,27717.0,44.2735,0.826263
64,2,537551930,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,940,133780000000.0,464393000.0,0.0,0.0,0.568881
65,1,537550702,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,146,425110000000.0,1153080000.0,0.0,0.0,1.41253
66,2,537552009,False,0.503558,8280,4420,8200,0.0730462,0.0187984,14.0321,746.452,0.000446526,306928743,1044,5920650000.0,19390500.0,272090000.0,364511.0,0.0237534
67,3,537552377,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,437,338053000000.0,1058410000.0,0.0,0.0,1.29655
68,3,537552511,False,0.435918,8170,5730,6580,0.0159528,0.00410528,5.26057,1281.42,9.75187e-05,306928743,673,2450890000.0,19391400.0,102010000.0,79607.1,0.0237545
69,1,537550940,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,541,592686000000.0,1362900000.0,0.0,0.0,1.66956
70,3,537552785,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1093,845950000000.0,2786030000.0,0.0,0.0,3.41289
71,2,537552042,False,0.450253,7630,4990,8420,0.0119581,3.95066e-05,0.0214522,543.004,7.30991e-05,306928743,1099,218544000000.0,1510450000.0,32402600.0,59672.7,1.8503
72,2,537551835,False,0.501231,6630,5910,7740,0.236582,0.000255197,0.149632,586.338,0.00144621,306928743,803,1761610000000.0,4626150000.0,692218000.0,1180580.0,5.66704
73,2,537552092,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,312782624,7958520000.0,12763800.0,0.0,0.0,0.0156357
74,3,537552230,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,203,9547870000.0,23113800.0,0.0,0.0,0.0283144
75,1,537551038,False,0.58384,5710,7300,2960,0.132682,3.35046e-05,0.0239065,713.53,0.000811077,306928743,698,7907840000000.0,19761600000.0,472431000.0,662104.0,24.208
76,2,537551875,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,863,29353900000.0,189850000.0,0.0,0.0,0.232567
77,3,537552179,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,126,24527300000.0,123412000.0,0.0,0.0,0.151179
78,3,537552336,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,366,73880800000.0,157646000.0,0.0,0.0,0.193116
79,2,537552037,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1092,25771900000.0,58385700.0,0.0,0.0,0.0715225
80,2,537551673,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,530,9169420000.0,33043500.0,0.0,0.0,0.0404783
81,3,537552165,False,0.432467,5130,5510,9790,0.00339843,7.32899e-06,0.0123524,1685.42,2.07744e-05,306928743,111,924152000000.0,2313920000.0,28582500.0,16958.7,2.83455
82,2,537551929,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,939,2601600000.0,8564400.0,0.0,0.0,0.0104914
83,1,537551098,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,805,5298830000.0,85917600.0,0.0,0.0,0.105249
84,2,537551982,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,1006,4505200000.0,92756700.0,0.0,0.0,0.113627
85,3,537552821,False,0.0740051,7410,610,3630,0.000658025,8.53673e-06,0.00508607,595.787,4.02247e-06,306928743,312782554,173627000000.0,384649000.0,1956350.0,3283.65,0.471195
86,1,537551213,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,972,457113000000.0,1089550000.0,0.0,0.0,1.3347
87,2,537551706,False,0.285192,4290,6510,5960,0.015692,0.000164404,0.102277,622.11,9.59244e-05,306928743,596,190794000000.0,476301000.0,48714700.0,78305.6,0.583468
88,1,537550703,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,306928743,147,2017070000.0,7392600.0,0.0,0.0,0.00905593
89,3,537552468,False,0.0894606,7470,500,5140,0.00136939,6.30669e-06,0.00343632,544.869,8.37098e-06,306928743,610,470790000000.0,1083520000.0,3723340.0,6833.45,1.32732
90,2,537551750,False,0.49666,9130,4250,7890,0.0137126,0.000162449,0.100748,620.182,8.38244e-05,306928743,658,67829300000.0,421227000.0,42437900.0,68428.1,0.516003
